categoryId	categoryName	lPath
223256	치과	||건강,의료||병원||병원,의원||치과
223260	한의원	||건강,의료||병원||병원,의원||한의원
223268	미용	||생활,편의||미용
223273	주유소	||생활,편의||주유소
223276	자동차정비,수리	||생활,편의||자동차정비,수리
223277	세탁	||생활,편의||세탁
223281	수리,AS	||생활,편의||수리,AS
223288	미용실	||생활,편의||미용||미용실
223289	머리염색	||생활,편의||미용||머리염색
223290	두피,탈모관리	||생활,편의||미용||두피,탈모관리
223291	피부,체형관리	||생활,편의||미용||피부,체형관리
223292	다이어트,비만	||생활,편의||미용||다이어트,비만
223294	메이크업	||생활,편의||미용||메이크업
223296	네일아트,네일샵	||생활,편의||미용||네일아트,네일샵
223319	SK주유소	||생활,편의||주유소||SK주유소
223320	GS칼텍스주유소	||생활,편의||주유소||GS칼텍스주유소
223321	HD현대오일뱅크주유소	||생활,편의||주유소||HD현대오일뱅크주유소
223322	S-OIL주유소	||생활,편의||주유소||S-OIL주유소
223324	농협주유소	||생활,편의||주유소||농협주유소
223325	알뜰주유소	||생활,편의||주유소||알뜰주유소
223350	외형복원,덴트,도색	||생활,편의||자동차정비,수리||외형복원,덴트,도색
223351	방음,방청	||생활,편의||자동차정비,수리||방음,방청
223352	튜닝	||생활,편의||자동차정비,수리||튜닝
223353	썬팅,광택	||생활,편의||자동차정비,수리||썬팅,광택
223354	타이어,휠	||생활,편의||자동차정비,수리||타이어,휠
223356	세탁소	||생활,편의||세탁||세탁소
223357	셀프빨래방	||생활,편의||세탁||셀프빨래방
223383	컴퓨터수리	||생활,편의||수리,AS||컴퓨터수리
223384	휴대폰수리	||생활,편의||수리,AS||휴대폰수리
223446	남성전문미용실	||생활,편의||미용||미용실||남성전문미용실
223447	어린이미용실	||생활,편의||미용||미용실||어린이미용실
223468	태닝	||생활,편의||미용||피부,체형관리||태닝
223488	발관리	||생활,편의||미용||피부,체형관리||발관리
223570	가구,인테리어	||쇼핑,유통||가구,인테리어
223573	취미,레저용품	||쇼핑,유통||취미,레저용품
223575	자동차	||쇼핑,유통||자동차
223583	종교용품	||쇼핑,유통||종교용품
223593	슈퍼,마트	||쇼핑,유통||종합도소매||슈퍼,마트
223641	스포츠의류	||쇼핑,유통||패션||스포츠의류
223644	골프웨어	||쇼핑,유통||패션||골프웨어
223699	가구	||쇼핑,유통||가구,인테리어||가구
223700	침구,커튼	||쇼핑,유통||가구,인테리어||침구,커튼
223701	벽지,장판,마루	||쇼핑,유통||가구,인테리어||벽지,장판,마루
223702	인테리어소품	||쇼핑,유통||가구,인테리어||인테리어소품
